job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs
863,Data Scientist - Gen AI,Fractal Analytics,4.0,"Mumbai, Noida, Hyderabad, Pune, Chennai, Gurugram, Bengaluru",Mumbai,Data Scientist,3-5 Yrs,3.0,5.0
864,Lending Data Scientist,Luxoft,3.6,"Mumbai, Pune, Chennai",Mumbai,Data Scientist,4-8 Yrs,4.0,8.0
865,Data Scientist,Celebal Technologies,3.0,"Mumbai (All Areas), Bengaluru",Mumbai,Data Scientist,3-8 Yrs,3.0,8.0
866,Data-scientist - Machine Learning & AI,Hdfc Bank,3.8,"Mumbai (All Areas), Gurugram, Delhi / NCR",Mumbai,Data Scientist,7-12 Yrs,7.0,12.0
867,Data Scientist,ICICI Lombard,3.5,Mumbai,Mumbai,Data Scientist,1-6 Yrs,1.0,6.0
868,Data Scientist AIML,Tata Consultancy Services,3.3,"Mumbai, Hyderabad, Gurugram",Mumbai,Data Scientist,5-10 Yrs,5.0,10.0
869,AMEA Data Scientist (o9 Demand planning),Mondelez,4.1,Mumbai,Mumbai,Data Scientist,6-11 Yrs,6.0,11.0
870,Data Scientist,Colgate-Palmolive (India),3.9,Mumbai,Mumbai,Data Scientist,2-6 Yrs,2.0,6.0
871,Sr. Machine learning /Data Scientist,Version 1,3.7,Mumbai,Mumbai,Data Scientist,5-9 Yrs,5.0,9.0
872,Data Scientist,Capgemini,3.6,"Hybrid - Mumbai (All Areas), Pune, Bengaluru",Mumbai,Data Scientist,6-8 Yrs,6.0,8.0
873,Data Scientist,Tata Consultancy Services,3.3,"Mumbai (All Areas), Chennai, Bengaluru",Mumbai,Data Scientist,5-10 Yrs,5.0,10.0
874,Data Scientist - Phd only,NDS Infoserv,3.2,Mumbai,Mumbai,Data Scientist,0-2 Yrs,0.0,2.0
875,Data Scientist - RL,Krazy Mantra It,3.6,"Mumbai, Noida, Bhubaneswar, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,1-4 Yrs,1.0,4.0
876,Data Scientist,Digital Glyde,3.3,"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,3-7 Yrs,3.0,7.0
877,Data Scientist,Artify Talent Studio,4.4,"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,4-8 Yrs,4.0,8.0
878,Data Scientist,Bright Infotech,2.4,Mumbai,Mumbai,Data Scientist,4-9 Yrs,4.0,9.0
879,Data Scientist,Banking Organization,3.6,"Mumbai (All Areas), Bengaluru",Mumbai,Data Scientist,4-6 Yrs,4.0,6.0
880,Data Scientist,Supplycopia Software Services,2.6,"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,3-8 Yrs,3.0,8.0
881,Data Scientist,DTC Infotech,3.0,Mumbai,Mumbai,Data Scientist,2-4 Yrs,2.0,4.0
882,Data Scientist,Open Insights,4.2,"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,3-6 Yrs,3.0,6.0
883,Data Scientist,LLP S3bglobal Technologies,3.5,"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,1-6 Yrs,1.0,6.0
884,Data Scientist,Bot Consulting,4.7,"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,2-5 Yrs,2.0,5.0
885,Data Scientist,Rezultize,3.6,"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,3-8 Yrs,3.0,8.0
886,Data Scientist and Vertex AI_Senior Analyst,Clarice Technologie,3.4,Mumbai,Mumbai,Data Scientist,3-7 Yrs,3.0,7.0
887,Data Scientist Shalini,Logic Planet,2.8,"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,8-14 Yrs,8.0,14.0
888,Data Scientist,Leokraft Technologies,3.6,"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Mumbai,Data Scientist,3-7 Yrs,3.0,7.0
889,Excellent opportunity For Data Scientist,Kiya.ai,3.9,"Mumbai, Navi Mumbai, Mumbai (All Areas)",Mumbai,Data Scientist,3-8 Yrs,3.0,8.0
890,Data scientists,Stack Digital,3.6,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",Mumbai,Data Scientist,5-10 Yrs,5.0,10.0
891,"Director, Data Scientist",Affinity Global Advertising,2.8,Mumbai,Mumbai,Data Scientist,8-13 Yrs,8.0,13.0
892,Data Scientist - Deep Learning,First Livingspaces,3.1,Mumbai,Mumbai,Data Scientist,7-9 Yrs,7.0,9.0
893,Data Scientist-1,Finicity,3.6,Mumbai,Mumbai,Data Scientist,3-5 Yrs,3.0,5.0
894,Data Scientist,Net Connect,3.1,Mumbai,Mumbai,Data Scientist,5-7 Yrs,5.0,7.0
895,Data Scientist,Axis Asset Management Company,3.7,Mumbai,Mumbai,Data Scientist,12-18 Yrs,12.0,18.0
896,Data Scientist IT Mahape,Securens Systems,3.9,Navi Mumbai,Mumbai,Data Scientist,2-6 Yrs,2.0,6.0
897,Data Scientist,The It Mind Services,4.1,Mumbai,Mumbai,Data Scientist,4-12 Yrs,4.0,12.0
898,AI Data Scientist,Westernacher Consulting,4.1,Mumbai,Mumbai,Data Scientist,3-8 Yrs,3.0,8.0
899,GenAI Data Scientist,XTGlobal,4.3,Mumbai,Mumbai,Data Scientist,8-13 Yrs,8.0,13.0
900,Data Scientist,Green Clover,3.6,Mumbai,Mumbai,Data Scientist,3-6 Yrs,3.0,6.0
